fund,predict,min,max
350,1010.38 ,810.24 ,1214.71 
351,4255.27 ,3343.20 ,5156.39 
352,2880.82 ,2239.67 ,3511.28 
353,1053.15 ,565.60 ,1521.17 
354,1450.43 ,1448.68 ,1452.31 
355,1415.54 ,1413.51 ,1417.37 
356,1229.64 ,1067.57 ,1408.10 
357,1406.73 ,1116.93 ,1692.08 
358,1882.42 ,1505.04 ,2243.94 
359,2311.28 ,1710.48 ,1936.64 
360,2065.85 ,1696.34 ,2438.83 
361,1773.57 ,1443.63 ,2107.17 
362,1329.71 ,1156.70 ,1509.36 
363,2264.73 ,1738.14 ,2806.81 
364,1228.86 ,974.40 ,1484.91 
365,1655.23 ,1141.19 ,2197.84 
366,1501.97 ,1100.58 ,1910.18 
367,2115.10 ,1605.12 ,2627.34 
368,2031.16 ,1540.94 ,2517.41 
369,1598.19 ,1483.31 ,1717.88 
370,1576.61 ,1441.26 ,1697.73 
371,1478.17 ,1367.93 ,1587.01 
372,1082.95 ,971.23 ,1192.78 
373,2461.01 ,1882.26 ,2971.45 
374,989.83 ,879.34 ,1103.65 
375,2084.10 ,1605.84 ,2595.02 
376,2030.48 ,1527.21 ,2553.89 
377,2216.74 ,1625.50 ,2754.52 
378,2191.74 ,1758.35 ,2657.64 
379,1312.15 ,1155.00 ,1470.14 
380,1806.23 ,1381.18 ,2228.92 
