date,rate
2020-01-16,1843.06 
2020-01-15,1847.54 
2020-01-14,1842.92 
2020-01-13,1834.10 
2020-01-12,1834.08 
2020-01-11,1834.07 
2020-01-10,1828.05 
2020-01-09,1815.50 
2020-01-08,1824.24 
2020-01-07,1819.10 
2020-01-06,1828.32 
2020-01-05,1828.31 
2020-01-04,1828.30 
2020-01-03,1826.13 
2020-01-02,1832.68 
2020-01-01,1832.66 
2019-12-31,1832.65 
2019-12-30,1835.11 
2019-12-29,1835.10 
2019-12-28,1835.08 
2019-12-27,1822.51 
2019-12-26,1817.56 
2019-12-25,1817.55 
2019-12-24,1822.00 
2019-12-23,1821.03 
2019-12-22,1821.02 
2019-12-21,1821.00 
2019-12-20,1820.32 
2019-12-19,1820.87 
2019-12-18,1820.96 
2019-12-17,1810.56 
2019-12-16,1809.26 
2019-12-15,1809.25 
2019-12-14,1809.23 
2019-12-13,1797.34 
2019-12-12,1783.21 
2019-12-11,1779.01 
2019-12-10,1775.03 
2019-12-09,1772.08 
2019-12-08,1772.07 
2019-12-07,1772.06 
2019-12-06,1763.49 
2019-12-05,1765.83 
2019-12-04,1768.08 
2019-12-03,1772.64 
2019-12-02,1772.73 
2019-12-01,1772.71 
2019-11-30,1772.70 
2019-11-29,1781.93 
2019-11-28,1785.52 
2019-11-27,1784.31 
2019-11-26,1783.84 
2019-11-25,1776.35 
2019-11-24,1776.34 
2019-11-23,1776.33 
2019-11-22,1774.02 
2019-11-21,1785.87 
2019-11-20,1795.75 
2019-11-19,1796.78 
2019-11-18,1797.32 
2019-11-17,1797.31 
2019-11-16,1797.30 
2019-11-15,1788.75 
2019-11-14,1784.83 
2019-11-13,1789.73 
2019-11-12,1784.97 
2019-11-11,1789.49 
2019-11-10,1789.47 
2019-11-09,1789.46 
2019-11-08,1790.54 
2019-11-07,1792.64 
2019-11-06,1792.99 
2019-11-05,1787.64 
2019-11-04,1777.88 
2019-11-03,1777.87 
2019-11-02,1777.85 
2019-11-01,1771.75 
2019-10-31,1769.55 
2019-10-30,1775.26 
2019-10-29,1776.85 
2019-10-28,1779.47 
2019-10-27,1779.46 
2019-10-26,1779.44 
2019-10-25,1781.01 
2019-10-24,1779.28 
2019-10-23,1785.02 
2019-10-22,1775.39 
2019-10-21,1774.95 
2019-10-20,1774.94 
2019-10-19,1774.93 
2019-10-18,1781.22 
2019-10-17,1785.28 
2019-10-16,1781.35 
2019-10-15,1780.47 
2019-10-14,1770.99 
2019-10-13,1770.98 
2019-10-12,1770.97 
2019-10-11,1765.10 
2019-10-10,1771.86 
2019-10-09,1771.85 
2019-10-08,1764.14 
2019-10-07,1764.63 
2019-10-06,1764.62 
2019-10-05,1764.61 
2019-10-04,1764.56 
2019-10-03,1764.55 
2019-10-02,1779.15 
2019-10-01,1777.23 
2019-09-30,1771.86 
2019-09-29,1771.85 
2019-09-28,1771.84 
2019-09-27,1780.42 
2019-09-26,1778.72 
2019-09-25,1787.57 
2019-09-24,1783.33 
2019-09-23,1783.84 
2019-09-22,1783.83 
2019-09-21,1783.82 
2019-09-20,1778.86 
2019-09-19,1775.80 
2019-09-18,1771.17 
2019-09-17,1768.78 
2019-09-16,1768.50 
2019-09-15,1768.49 
2019-09-14,1768.48 
2019-09-13,1768.47 
2019-09-12,1768.47 
2019-09-11,1763.91 
2019-09-10,1759.96 
2019-09-09,1754.76 
2019-09-08,1754.75 
2019-09-07,1754.74 
2019-09-06,1753.45 
2019-09-05,1747.20 
2019-09-04,1737.95 
2019-09-03,1740.53 
2019-09-02,1740.80 
2019-09-01,1740.79 
2019-08-31,1740.78 
2019-08-30,1729.08 
2019-08-29,1731.49 
2019-08-28,1723.41 
2019-08-27,1722.98 
2019-08-26,1733.40 
2019-08-25,1733.40 
2019-08-24,1733.39 
2019-08-23,1735.48 
2019-08-22,1739.92 
2019-08-21,1740.04 
2019-08-20,1734.42 
2019-08-19,1729.26 
2019-08-18,1729.26 
2019-08-17,1729.25 
2019-08-16,1731.36 
2019-08-15,1731.36 
2019-08-14,1725.50 
2019-08-13,1730.44 
2019-08-12,1729.17 
2019-08-11,1729.16 
2019-08-10,1729.15 
2019-08-09,1724.52 
2019-08-08,1720.43 
2019-08-07,1722.20 
2019-08-06,1733.90 
2019-08-05,1750.26 
2019-08-04,1750.25 
2019-08-03,1750.24 
2019-08-02,1755.22 
2019-08-01,1759.63 
2019-07-31,1764.28 
2019-07-30,1760.85 
2019-07-29,1774.54 
2019-07-28,1774.53 
2019-07-27,1774.52 
2019-07-26,1778.07 
2019-07-25,1780.29 
2019-07-24,1787.99 
2019-07-23,1784.25 
2019-07-22,1784.46 
2019-07-21,1784.45 
2019-07-20,1784.44 
2019-07-19,1773.49 
2019-07-18,1773.36 
2019-07-17,1780.44 
2019-07-16,1777.43 
2019-07-15,1780.49 
2019-07-14,1780.48 
2019-07-13,1780.47 
2019-07-12,1777.99 
2019-07-11,1768.26 
2019-07-10,1765.03 
2019-07-09,1768.62 
2019-07-08,1787.65 
2019-07-07,1787.64 
2019-07-06,1787.62 
2019-07-05,1790.20 
2019-07-04,1783.21 
2019-07-03,1791.69 
2019-07-02,1794.65 
2019-07-01,1794.97 
2019-06-30,1794.96 
2019-06-29,1794.94 
2019-06-28,1794.80 
2019-06-27,1788.65 
2019-06-26,1788.30 
2019-06-25,1791.83 
2019-06-24,1790.72 
2019-06-23,1790.70 
2019-06-22,1790.69 
2019-06-21,1794.03 
2019-06-20,1788.84 
2019-06-19,1778.72 
2019-06-18,1775.05 
2019-06-17,1776.94 
2019-06-16,1776.93 
2019-06-15,1776.92 
2019-06-14,1778.24 
2019-06-13,1782.98 
2019-06-12,1783.62 
2019-06-11,1778.12 
2019-06-10,1768.32 
2019-06-09,1768.31 
2019-06-08,1768.29 
2019-06-07,1767.98 
2019-06-06,1767.97 
2019-06-05,1765.45 
2019-06-04,1766.24 
2019-06-03,1755.59 
2019-06-02,1755.58 
2019-06-01,1755.56 
2019-05-31,1753.17 
2019-05-30,1746.72 
2019-05-29,1755.25 
2019-05-28,1753.82 
2019-05-27,1752.81 
2019-05-26,1752.79 
2019-05-25,1752.78 
